asin,categories,title,group,salesrank,similar_count,similar_asins,reviews_total,reviews_avg_rating,has_image,image_filename
0771044445,[],,,,,,,,True,0771044445.jpg
1892866315,[],,,,,,,,True,1892866315.jpg
B00004TAU6,[],,,,,,,,True,B00004TAU6.jpg
0740724770,[],,,,,,,,True,0740724770.jpg
067697547X,[],,,,,,,,True,067697547X.jpg
0836221915,[],,,,,,,,True,0836221915.jpg
1565220226,[],,,,,,,,True,1565220226.jpg
B000056N8S,[],,,,,,,,True,B000056N8S.jpg
B00006DXXW,[],,,,,,,,True,B00006DXXW.jpg
0896585859,[],,,,,,,,True,0896585859.jpg
076492009X,[],,,,,,,,True,076492009X.jpg
0672321726,[],,,,,,,,True,0672321726.jpg
B00005ALYS,[],,,,,,,,True,B00005ALYS.jpg
1400045908,[],,,,,,,,True,1400045908.jpg
B00003CY5U,[],,,,,,,,True,B00003CY5U.jpg
6304106327,[],,,,,,,,True,6304106327.jpg
009188473X,[],,,,,,,,True,009188473X.jpg
0099406020,[],,,,,,,,True,0099406020.jpg
0771082207,[],,,,,,,,True,0771082207.jpg
B00005T30P,[],,,,,,,,True,B00005T30P.jpg
0552142530,[],,,,,,,,True,0552142530.jpg
0375754148,[],,,,,,,,True,0375754148.jpg
0761127399,[],,,,,,,,True,0761127399.jpg
B00005NZZ3,[],,,,,,,,True,B00005NZZ3.jpg
071267991X,[],,,,,,,,True,071267991X.jpg
6303334288,[],,,,,,,,True,6303334288.jpg
1885030290,[],,,,,,,,True,1885030290.jpg
B00005NZZM,[],,,,,,,,True,B00005NZZM.jpg
6305807043,[],,,,,,,,True,6305807043.jpg
1564559858,[],,,,,,,,True,1564559858.jpg
0062111899,[],,,,,,,,True,0062111899.jpg
0712667326,[],,,,,,,,True,0712667326.jpg
B00005YUOR,[],,,,,,,,True,B00005YUOR.jpg
0761124810,[],,,,,,,,True,0761124810.jpg
0740701339,[],,,,,,,,True,0740701339.jpg
3898655512,[],,,,,,,,True,3898655512.jpg
